
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318383      eV
 Composition: x =   0.25000000001650230     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     57       16           -65561.54741      -61058.59845    0.195650E-03    0.122281E-04
  6     58       48           -65561.51364      -61058.56468    0.374670E-03    0.780563E-05
  6     59       48           -65561.55833      -61058.60936    0.678617E-03    0.141379E-04
  6     60       96           -65561.60610      -61058.65714    0.256121E-02    0.266793E-04
  6     61      192           -65561.59742      -61058.64845    0.456397E-02    0.237707E-04
  6     62       96           -65561.62828      -61058.67932    0.343959E-02    0.358290E-04
  6     63       96           -65561.60348      -61058.65451    0.247345E-02    0.257651E-04
  6     64       48           -65561.61413      -61058.66517    0.142488E-02    0.296850E-04
  6     65       48           -65561.59121      -61058.64224    0.105059E-02    0.218873E-04
  7      1      192           -66311.94451      -61058.50405    0.669470E-03    0.348682E-05
  7      2       48           -66311.97842      -61058.53797    0.262693E-03    0.547277E-05
  7      3       96           -66311.94963      -61058.50918    0.358333E-03    0.373264E-05
  7      4       96           -66311.91560      -61058.47514    0.227935E-03    0.237432E-05
  7      5       48           -66311.91094      -61058.47048    0.107114E-03    0.223153E-05
  7      6       96           -66311.93192      -61058.49146    0.283156E-03    0.294954E-05
  7      7       96           -66311.96458      -61058.52412    0.437095E-03    0.455307E-05
  7      8      192           -66311.94323      -61058.50277    0.658193E-03    0.342809E-05
  7      9      192           -66311.96152      -61058.52106    0.839322E-03    0.437147E-05
  7     10      192           -66311.97454      -61058.53408    0.997899E-03    0.519739E-05
  7     11      192           -66311.98827      -61058.54781    0.119773E-02    0.623820E-05
  7     12      192           -66311.96920      -61058.52875    0.929583E-03    0.484158E-05
  7     13      192           -66311.97897      -61058.53851    0.105844E-02    0.551271E-05
  7     14      192           -66311.95455      -61058.51409    0.765002E-03    0.398438E-05
  7     15      192           -66311.94879      -61058.50833    0.708653E-03    0.369090E-05
  7     16      192           -66311.97501      -61058.53455    0.100417E-02    0.523003E-05
  7     17      192           -66311.97941      -61058.53895    0.106462E-02    0.554490E-05
  7     18      192           -66311.97931      -61058.53885    0.106316E-02    0.553731E-05
  7     19       96           -66311.98554      -61058.54509    0.577540E-03    0.601604E-05
  7     20       96           -66311.97225      -61058.53180    0.484022E-03    0.504190E-05
  7     21      192           -66311.93300      -61058.49254    0.574485E-03    0.299211E-05
  7     22      192           -66311.95195      -61058.51149    0.739044E-03    0.384919E-05
  7     23       96           -66311.91308      -61058.47262    0.220423E-03    0.229608E-05
  7     24       96           -66311.92432      -61058.48386    0.255948E-03    0.266612E-05
  7     25      192           -66311.93376      -61058.49331    0.580364E-03    0.302273E-05
  7     26      192           -66311.94964      -61058.50918    0.716676E-03    0.373269E-05
  7     27      192           -66311.95674      -61058.51628    0.787651E-03    0.410235E-05
  7     28      192           -66311.94869      -61058.50823    0.707740E-03    0.368614E-05
  7     29       96           -66311.96376      -61058.52331    0.432362E-03    0.450377E-05
  7     30      192           -66311.92504      -61058.48458    0.516804E-03    0.269169E-05
  7     31       96           -66311.92608      -61058.48562    0.261989E-03    0.272905E-05
  7     32      192           -66311.94219      -61058.50174    0.649165E-03    0.338107E-05
  7     33      192           -66311.95534      -61058.51488    0.773129E-03    0.402671E-05
  7     34      192           -66311.93241      -61058.49195    0.569997E-03    0.296874E-05
  7     35      192           -66311.94584      -61058.50538    0.681411E-03    0.354901E-05
  7     36      192           -66311.96232      -61058.52186    0.848250E-03    0.441797E-05
  7     37      192           -66311.94051      -61058.50005    0.634820E-03    0.330636E-05
  7     38       96           -66311.94944      -61058.50899    0.357420E-03    0.372313E-05
  7     39      192           -66311.96984      -61058.52938    0.937462E-03    0.488262E-05
  7     40       96           -66311.93276      -61058.49230    0.286312E-03    0.298242E-05
  7     41      192           -66311.96916      -61058.52871    0.929088E-03    0.483900E-05
  7     42       96           -66311.96775      -61058.52729    0.455864E-03    0.474858E-05
  7     43       96           -66311.96666      -61058.52620    0.449313E-03    0.468034E-05
  7     44       96           -66311.99143      -61058.55097    0.624558E-03    0.650582E-05
  7     45       96           -66311.96841      -61058.52795    0.459911E-03    0.479074E-05
  7     46      192           -66311.97714      -61058.53668    0.103300E-02    0.538023E-05
  7     47      192           -66311.96119      -61058.52073    0.835660E-03    0.435239E-05
  7     48      192           -66311.99185      -61058.55139    0.125604E-02    0.654189E-05
  7     49      192           -66311.99770      -61058.55724    0.135767E-02    0.707119E-05
  7     50      192           -66311.97840      -61058.53795    0.105049E-02    0.547132E-05
  7     51       48           -66311.98007      -61058.53961    0.268515E-03    0.559406E-05
  7     52       96           -66311.96713      -61058.52668    0.452170E-03    0.471011E-05
  7     53       48           -66311.91035      -61058.46989    0.106278E-03    0.221413E-05
  7     54       96           -66311.93432      -61058.49386    0.292323E-03    0.304503E-05
  7     55      192           -66311.93864      -61058.49818    0.619218E-03    0.322510E-05
  7     56      192           -66311.94337      -61058.50291    0.659366E-03    0.343420E-05
  7     57       32           -66311.93053      -61058.49007    0.926561E-04    0.289550E-05
  7     58       96           -66311.95366      -61058.51320    0.378033E-03    0.393784E-05
  7     59       96           -66311.95312      -61058.51266    0.375329E-03    0.390967E-05
  7     60      192           -66311.96400      -61058.52355    0.867487E-03    0.451816E-05
  7     61       96           -66311.96270      -61058.52225    0.426318E-03    0.444081E-05
  7     62       16           -66311.93216      -61058.49170    0.473441E-04    0.295900E-05
  7     63       96           -66311.99363      -61058.55317    0.643058E-03    0.669852E-05
  7     64      192           -66312.02416      -61058.58370    0.192984E-02    0.100513E-04
  7     65      192           -66312.00195      -61058.56149    0.143654E-02    0.748197E-05
  7     66      192           -66312.02133      -61058.58088    0.185882E-02    0.968135E-05
  7     67      192           -66312.01008      -61058.56962    0.160046E-02    0.833574E-05
  7     68       64           -66311.99630      -61058.55585    0.444241E-03    0.694127E-05
  7     69       96           -66312.02607      -61058.58561    0.989813E-03    0.103106E-04
  7     70      192           -66312.01215      -61058.57169    0.164513E-02    0.856840E-05
  7     71      192           -66312.02303      -61058.58257    0.190115E-02    0.990182E-05
  7     72       96           -66311.98848      -61058.54803    0.600557E-03    0.625580E-05
  7     73      192           -66312.02080      -61058.58035    0.184572E-02    0.961312E-05
  7     74       96           -66311.98403      -61058.54357    0.566025E-03    0.589610E-05
  7     75       96           -66312.03621      -61058.59576    0.113267E-02    0.117986E-04
  7     76      192           -66311.98906      -61058.54860    0.121033E-02    0.630380E-05
  7     77       96           -66311.99918      -61058.55872    0.692293E-03    0.721139E-05
  7     78       96           -66311.95201      -61058.51155    0.369807E-03    0.385215E-05
  7     79       96           -66311.97882      -61058.53837    0.528187E-03    0.550195E-05
  7     80       48           -66311.97449      -61058.53403    0.249302E-03    0.519380E-05
  7     81       32           -66312.00074      -61058.56028    0.235615E-03    0.736298E-05
  7     82       16           -66312.07070      -61058.63024    0.298564E-03    0.186602E-04
  8      1       48           -67062.37149      -61058.43954    0.709935E-04    0.147903E-05
  8      2       96           -67062.33935      -61058.40740    0.926265E-04    0.964859E-06
  8      3      192           -67062.38655      -61058.45460    0.346930E-03    0.180693E-05
  8      4      192           -67062.36876      -61058.43680    0.273850E-03    0.142630E-05
  8      5      192           -67062.39867      -61058.46672    0.407561E-03    0.212271E-05
  8      6      192           -67062.39225      -61058.46030    0.374223E-03    0.194908E-05
  8      7       96           -67062.35957      -61058.42762    0.121183E-03    0.126232E-05
  8      8      192           -67062.33768      -61058.40573    0.181181E-03    0.943652E-06
  8      9      192           -67062.35671      -61058.42476    0.233343E-03    0.121533E-05
  8     10       96           -67062.36931      -61058.43735    0.137930E-03    0.143677E-05
  8     11      192           -67062.37592      -61058.44397    0.301222E-03    0.156887E-05
  8     12      192           -67062.37400      -61058.44205    0.293632E-03    0.152933E-05
  8     13       48           -67062.32089      -61058.38894    0.362343E-04    0.754881E-06
  8     14      192           -67062.34967      -61058.41772    0.212489E-03    0.110671E-05
  8     15      192           -67062.34013      -61058.40818    0.187179E-03    0.974889E-06
  8     16      192           -67062.35628      -61058.42433    0.231995E-03    0.120831E-05
  8     17      192           -67062.36970      -61058.43775    0.277301E-03    0.144427E-05
  8     18      192           -67062.36911      -61058.43716    0.275138E-03    0.143301E-05
  8     19       96           -67062.36918      -61058.43723    0.137703E-03    0.143440E-05
  8     20       96           -67062.38028      -61058.44833    0.159589E-03    0.166239E-05
  8     21       96           -67062.35428      -61058.42233    0.112962E-03    0.117668E-05
  8     22      192           -67062.36855      -61058.43659    0.273083E-03    0.142231E-05
  8     23      192           -67062.39009      -61058.45814    0.363636E-03    0.189394E-05
  8     24       96           -67062.37760      -61058.44565    0.154000E-03    0.160417E-05
  8     25       48           -67062.40669      -61058.47474    0.113360E-03    0.236167E-05
  8     26       96           -67062.38834      -61058.45639    0.177633E-03    0.185034E-05
  8     27       12           -67062.33386      -61058.40191    0.107633E-04    0.896943E-06
  8     28       96           -67062.36664      -61058.43469    0.133129E-03    0.138676E-05
  8     29       96           -67062.36557      -61058.43361    0.131238E-03    0.136707E-05
  8     30       96           -67062.38265      -61058.45069    0.164691E-03    0.171553E-05
  8     31      192           -67062.37600      -61058.44405    0.301531E-03    0.157047E-05
  8     32      192           -67062.40881      -61058.47686    0.466370E-03    0.242901E-05
  8     33      192           -67062.39069      -61058.45874    0.366553E-03    0.190913E-05
  8     34      192           -67062.39482      -61058.46287    0.387233E-03    0.201684E-05
  8     35      192           -67062.39888      -61058.46693    0.408706E-03    0.212868E-05
  8     36       48           -67062.38652      -61058.45456    0.866911E-04    0.180606E-05
  8     37       48           -67062.41005      -61058.47810    0.118538E-03    0.246954E-05
  8     38      192           -67062.33684      -61058.40489    0.179179E-03    0.933223E-06
  8     39      192           -67062.34865      -61058.41670    0.209638E-03    0.109187E-05
  8     40      192           -67062.35818      -61058.42623    0.237948E-03    0.123931E-05
  8     41       24           -67062.32830      -61058.39635    0.199922E-04    0.833009E-06
  8     42      192           -67062.35732      -61058.42537    0.235240E-03    0.122521E-05
  8     43       96           -67062.36696      -61058.43500    0.133688E-03    0.139258E-05
  8     44       96           -67062.37934      -61058.44739    0.157614E-03    0.164181E-05
  8     45       48           -67062.35793      -61058.42598    0.592895E-04    0.123520E-05
  8     46       96           -67062.36611      -61058.43415    0.132186E-03    0.137693E-05
  8     47      192           -67062.37410      -61058.44215    0.294011E-03    0.153131E-05
  8     48      192           -67062.38632      -61058.45437    0.345880E-03    0.180146E-05
  8     49      192           -67062.36835      -61058.43640    0.272383E-03    0.141866E-05
  8     50       48           -67062.36430      -61058.43235    0.645294E-04    0.134436E-05
  8     51       96           -67062.35851      -61058.42656    0.119486E-03    0.124464E-05
  8     52      192           -67062.41745      -61058.48549    0.523115E-03    0.272456E-05
  8     53      192           -67062.39766      -61058.46571    0.402137E-03    0.209446E-05
  8     54      192           -67062.42900      -61058.49704    0.609922E-03    0.317668E-05
  8     55       48           -67062.40622      -61058.47427    0.112656E-03    0.234699E-05
  8     56      192           -67062.41988      -61058.48793    0.540295E-03    0.281404E-05
  8     57      192           -67062.41906      -61058.48711    0.534466E-03    0.278368E-05
  8     58       96           -67062.42897      -61058.49702    0.304856E-03    0.317558E-05
  8     59      192           -67062.42367      -61058.49172    0.568272E-03    0.295975E-05
  8     60      192           -67062.43777      -61058.50582    0.685417E-03    0.356988E-05
  8     61      192           -67062.40146      -61058.46951    0.422971E-03    0.220298E-05
  8     62      192           -67062.43244      -61058.50049    0.638527E-03    0.332566E-05
  8     63      192           -67062.44145      -61058.50950    0.719770E-03    0.374880E-05
  8     64      192           -67062.39707      -61058.46512    0.398990E-03    0.207807E-05
  8     65       96           -67062.40749      -61058.47553    0.229123E-03    0.238670E-05
  8     66      192           -67062.42128      -61058.48933    0.550473E-03    0.286705E-05
  8     67      192           -67062.40120      -61058.46925    0.421523E-03    0.219543E-05
  8     68       96           -67062.35701      -61058.42506    0.117128E-03    0.122009E-05
  8     69       96           -67062.35604      -61058.42409    0.115628E-03    0.120446E-05
  8     70      192           -67062.37643      -61058.44448    0.303247E-03    0.157941E-05
  8     71       96           -67062.37170      -61058.43975    0.142388E-03    0.148321E-05
  8     72       96           -67062.39875      -61058.46680    0.204014E-03    0.212514E-05
  8     73      192           -67062.40666      -61058.47471    0.453230E-03    0.236057E-05
  8     74       96           -67062.41114      -61058.47919    0.240533E-03    0.250555E-05
  8     75       96           -67062.42871      -61058.49676    0.303816E-03    0.316475E-05
  8     76       24           -67062.40570      -61058.47375    0.559354E-04    0.233064E-05
  8     77       96           -67062.36628      -61058.43433    0.132497E-03    0.138018E-05
  8     78       96           -67062.36486      -61058.43291    0.130023E-03    0.135441E-05
  8     79       48           -67062.36441      -61058.43246    0.646203E-04    0.134626E-05
  8     80      192           -67062.39150      -61058.45955    0.370530E-03    0.192985E-05
  8     81      192           -67062.37530      -61058.44335    0.298730E-03    0.155589E-05
  8     82       96           -67062.41244      -61058.48048    0.244703E-03    0.254899E-05
  8     83       96           -67062.39691      -61058.46496    0.199082E-03    0.207377E-05
  8     84      192           -67062.42530      -61058.49334    0.580650E-03    0.302422E-05
  8     85      192           -67062.44172      -61058.50976    0.722281E-03    0.376188E-05
  8     86      192           -67062.41863      -61058.48668    0.531406E-03    0.276774E-05
  8     87       96           -67062.42418      -61058.49223    0.286050E-03    0.297969E-05
  8     88       96           -67062.41311      -61058.48115    0.246895E-03    0.257182E-05
  8     89      192           -67062.44060      -61058.50865    0.711664E-03    0.370658E-05
  8     90       48           -67062.41450      -61058.48255    0.125755E-03    0.261989E-05
  8     91       96           -67062.44096      -61058.50901    0.357529E-03    0.372427E-05
  8     92       48           -67062.47212      -61058.54017    0.270503E-03    0.563548E-05
  8     93       96           -67062.46959      -61058.53763    0.523080E-03    0.544875E-05
  8     94        6           -67062.34545      -61058.41349    0.627763E-05    0.104627E-05
  8     95       24           -67062.40391      -61058.47196    0.546231E-04    0.227596E-05
  8     96       48           -67062.45068      -61058.51873    0.203431E-03    0.423815E-05
  8     97       12           -67062.47861      -61058.54666    0.737150E-04    0.614291E-05
  9      1       16           -67812.76296      -61058.33951    0.626123E-05    0.391327E-06
  9      2       96           -67812.80679      -61058.38335    0.672798E-04    0.700831E-06
  9      3      192           -67812.77905      -61058.35560    0.930511E-04    0.484641E-06
  9      4      192           -67812.76004      -61058.33660    0.722819E-04    0.376468E-06
  9      5      192           -67812.79110      -61058.36765    0.109217E-03    0.568840E-06
  9      6      192           -67812.77669      -61058.35325    0.901869E-04    0.469723E-06
  9      7      192           -67812.78688      -61058.36344    0.103269E-03    0.537859E-06
  9      8      192           -67812.80827      -61058.38482    0.137218E-03    0.714679E-06
  9      9       96           -67812.81566      -61058.39221    0.756920E-04    0.788459E-06
  9     10       64           -67812.80977      -61058.38632    0.466619E-04    0.729092E-06
  9     11      192           -67812.79968      -61058.37623    0.122412E-03    0.637561E-06
  9     12       32           -67812.75844      -61058.33499    0.117922E-04    0.368507E-06
  9     13       96           -67812.76132      -61058.33787    0.367582E-04    0.382898E-06
  9     14      192           -67812.80434      -61058.38089    0.130234E-03    0.678303E-06
  9     15       96           -67812.81421      -61058.39076    0.742471E-04    0.773407E-06
  9     16       96           -67812.82611      -61058.40267    0.869774E-04    0.906014E-06
  9     17       96           -67812.75873      -61058.33528    0.355147E-04    0.369945E-06
  9     18       96           -67812.75730      -61058.33386    0.348483E-04    0.363003E-06
  9     19       96           -67812.77566      -61058.35222    0.444814E-04    0.463348E-06
  9     20       96           -67812.76941      -61058.34597    0.409348E-04    0.426404E-06
  9     21      192           -67812.79488      -61058.37143    0.114847E-03    0.598160E-06
  9     22      192           -67812.77850      -61058.35505    0.923745E-04    0.481117E-06
  9     23      192           -67812.78810      -61058.36466    0.104955E-03    0.546638E-06
  9     24      192           -67812.78696      -61058.36351    0.103373E-03    0.538403E-06
  9     25       48           -67812.77802      -61058.35458    0.229486E-04    0.478095E-06
  9     26       48           -67812.79165      -61058.36820    0.275047E-04    0.573014E-06
  9     27      192           -67812.81861      -61058.39516    0.157445E-03    0.820024E-06
  9     28      192           -67812.83925      -61058.41581    0.207162E-03    0.107897E-05
  9     29      192           -67812.83586      -61058.41242    0.198023E-03    0.103137E-05
  9     30       96           -67812.84881      -61058.42536    0.117609E-03    0.122509E-05
  9     31      192           -67812.84179      -61058.41834    0.214262E-03    0.111595E-05
  9     32      192           -67812.83873      -61058.41529    0.205732E-03    0.107152E-05
  9     33      192           -67812.81791      -61058.39446    0.155978E-03    0.812386E-06
  9     34       96           -67812.75800      -61058.33455    0.351699E-04    0.366353E-06
  9     35       96           -67812.77649      -61058.35305    0.449749E-04    0.468489E-06
  9     36      192           -67812.79496      -61058.37152    0.114981E-03    0.598860E-06
  9     37       96           -67812.78896      -61058.36552    0.530813E-04    0.552930E-06
  9     38      192           -67812.82654      -61058.40310    0.174957E-03    0.911232E-06
  9     39      192           -67812.80576      -61058.38232    0.132725E-03    0.691274E-06
  9     40       96           -67812.80616      -61058.38271    0.667134E-04    0.694931E-06
  9     41      192           -67812.82791      -61058.40446    0.178158E-03    0.927904E-06
  9     42       96           -67812.81007      -61058.38662    0.702715E-04    0.731995E-06
  9     43       96           -67812.84600      -61058.42256    0.113300E-03    0.118021E-05
  9     44       96           -67812.80759      -61058.38414    0.679928E-04    0.708258E-06
  9     45      192           -67812.78858      -61058.36514    0.105631E-03    0.550159E-06
  9     46      192           -67812.78535      -61058.36190    0.101185E-03    0.527003E-06
  9     47       96           -67812.80144      -61058.37799    0.626571E-04    0.652679E-06
  9     48      192           -67812.82713      -61058.40368    0.176318E-03    0.918321E-06
  9     49      192           -67812.79552      -61058.37207    0.115828E-03    0.603270E-06
  9     50      192           -67812.83546      -61058.41202    0.196981E-03    0.102594E-05
  9     51      192           -67812.81585      -61058.39241    0.151775E-03    0.790495E-06
  9     52      192           -67812.84622      -61058.42278    0.227264E-03    0.118367E-05
  9     53      192           -67812.85684      -61058.43339    0.261707E-03    0.136306E-05
  9     54       96           -67812.81905      -61058.39561    0.791862E-04    0.824856E-06
  9     55      192           -67812.82744      -61058.40399    0.177043E-03    0.922101E-06
  9     56      192           -67812.84162      -61058.41817    0.213769E-03    0.111338E-05
  9     57      192           -67812.85615      -61058.43271    0.259335E-03    0.135070E-05
  9     58       96           -67812.81278      -61058.38933    0.728501E-04    0.758855E-06
  9     59      192           -67812.86009      -61058.43664    0.273265E-03    0.142325E-05
  9     60      192           -67812.83829      -61058.41484    0.204513E-03    0.106517E-05
  9     61      192           -67812.84829      -61058.42485    0.233604E-03    0.121669E-05
  9     62      192           -67812.80518      -61058.38173    0.131702E-03    0.685946E-06
  9     63      192           -67812.85725      -61058.43380    0.263144E-03    0.137054E-05
  9     64       96           -67812.81455      -61058.39111    0.745884E-04    0.776962E-06
  9     65       96           -67812.79692      -61058.37347    0.590010E-04    0.614594E-06
  9     66      192           -67812.81048      -61058.38704    0.141326E-03    0.736074E-06
  9     67      192           -67812.83063      -61058.40718    0.184722E-03    0.962093E-06
  9     68      192           -67812.82720      -61058.40375    0.176486E-03    0.919200E-06
  9     69       48           -67812.87338      -61058.44994    0.815230E-04    0.169840E-05
  9     70       96           -67812.87207      -61058.44862    0.160210E-03    0.166886E-05
  9     71      192           -67812.88936      -61058.46592    0.403245E-03    0.210023E-05
  9     72       96           -67812.86915      -61058.44571    0.154123E-03    0.160545E-05
  9     73       48           -67812.77518      -61058.35173    0.220963E-04    0.460340E-06
  9     74       96           -67812.80572      -61058.38228    0.663270E-04    0.690906E-06
  9     75       96           -67812.84596      -61058.42251    0.113234E-03    0.117952E-05
  9     76      192           -67812.86070      -61058.43725    0.275482E-03    0.143480E-05
  9     77       96           -67812.85495      -61058.43151    0.127612E-03    0.132929E-05
  9     78       48           -67812.87663      -61058.45318    0.851131E-04    0.177319E-05
  9     79       96           -67812.89835      -61058.47491    0.227218E-03    0.236686E-05
  9     80       32           -67812.80120      -61058.37776    0.208200E-04    0.650626E-06
  9     81       96           -67812.89119      -61058.46774    0.206579E-03    0.215186E-05
  9     82       16           -67812.84558      -61058.42213    0.187777E-04    0.117361E-05
 10      1       96           -68563.19951      -61058.28457    0.180981E-04    0.188522E-06
 10      2      192           -68563.22623      -61058.31129    0.516345E-04    0.268930E-06
 10      3       96           -68563.19852      -61058.28358    0.178630E-04    0.186073E-06
 10      4       96           -68563.19838      -61058.28344    0.178295E-04    0.185724E-06
 10      5       48           -68563.21124      -61058.29630    0.105765E-04    0.220345E-06
 10      6       48           -68563.24170      -61058.32676    0.158560E-04    0.330333E-06
 10      7      192           -68563.19709      -61058.28215    0.350504E-04    0.182554E-06
 10      8       96           -68563.20784      -61058.29290    0.202184E-04    0.210608E-06
 10      9       96           -68563.21364      -61058.29870    0.218394E-04    0.227494E-06
 10     10      192           -68563.25766      -61058.34273    0.784153E-04    0.408413E-06
 10     11       96           -68563.19797      -61058.28303    0.177317E-04    0.184705E-06
 10     12      192           -68563.22825      -61058.31331    0.530404E-04    0.276252E-06
 10     13       96           -68563.24672      -61058.33178    0.338976E-04    0.353100E-06
 10     14      192           -68563.24614      -61058.33120    0.672772E-04    0.350402E-06
 10     15       96           -68563.22693      -61058.31199    0.260593E-04    0.271451E-06
 10     16      192           -68563.22335      -61058.30841    0.496958E-04    0.258832E-06
 10     17      192           -68563.25546      -61058.34053    0.761553E-04    0.396642E-06
 10     18      192           -68563.25561      -61058.34067    0.762982E-04    0.397386E-06
 10     19      192           -68563.25470      -61058.33976    0.753888E-04    0.392650E-06
 10     20      192           -68563.26407      -61058.34913    0.853817E-04    0.444696E-06
 10     21      192           -68563.27507      -61058.36013    0.988290E-04    0.514734E-06
 10     22      192           -68563.27252      -61058.35759    0.955403E-04    0.497606E-06
 10     23      192           -68563.23484      -61058.31990    0.578917E-04    0.301519E-06
 10     24      192           -68563.19848      -61058.28354    0.357060E-04    0.185969E-06
 10     25       96           -68563.19666      -61058.28172    0.174253E-04    0.181514E-06
 10     26       96           -68563.23259      -61058.31765    0.280941E-04    0.292646E-06
 10     27      192           -68563.22735      -61058.31241    0.524048E-04    0.272942E-06
 10     28       64           -68563.25601      -61058.34107    0.255687E-04    0.399510E-06
 10     29      192           -68563.24584      -61058.33090    0.670094E-04    0.349007E-06
 10     30      192           -68563.22906      -61058.31412    0.536118E-04    0.279228E-06
 10     31      192           -68563.24792      -61058.33298    0.688880E-04    0.358792E-06
 10     32      192           -68563.24485      -61058.32992    0.661378E-04    0.344467E-06
 10     33      192           -68563.26372      -61058.34878    0.849865E-04    0.442638E-06
 10     34       96           -68563.22979      -61058.31485    0.270691E-04    0.281969E-06
 10     35       48           -68563.20800      -61058.29306    0.101310E-04    0.211062E-06
 10     36      192           -68563.24395      -61058.32901    0.653495E-04    0.340362E-06
 10     37       48           -68563.20696      -61058.29202    0.999135E-05    0.208153E-06
 10     38      192           -68563.28889      -61058.37395    0.118751E-03    0.618495E-06
 10     39      192           -68563.28843      -61058.37350    0.118041E-03    0.614799E-06
 10     40       96           -68563.29626      -61058.38132    0.654869E-04    0.682155E-06
 10     41       96           -68563.29383      -61058.37889    0.634121E-04    0.660543E-06
 10     42       32           -68563.25704      -61058.34210    0.129609E-04    0.405029E-06
 10     43       16           -68563.27082      -61058.35588    0.778338E-05    0.486461E-06
 10     44       48           -68563.20535      -61058.29041    0.977966E-05    0.203743E-06
 10     45      192           -68563.25355      -61058.33861    0.742422E-04    0.386678E-06
 10     46       48           -68563.24488      -61058.32994    0.165404E-04    0.344591E-06
 10     47      192           -68563.27231      -61058.35737    0.952613E-04    0.496153E-06
 10     48      192           -68563.25558      -61058.34064    0.762668E-04    0.397223E-06
 10     49       48           -68563.21547      -61058.30053    0.111875E-04    0.233074E-06
 10     50       48           -68563.26774      -61058.35280    0.224126E-04    0.466928E-06
 10     51      192           -68563.29441      -61058.37947    0.127802E-03    0.665637E-06
 10     52      192           -68563.30566      -61058.39072    0.148403E-03    0.772935E-06
 10     53       24           -68563.22534      -61058.31040    0.637824E-05    0.265760E-06
 10     54       96           -68563.30286      -61058.38792    0.714945E-04    0.744735E-06
 10     55       96           -68563.21527      -61058.30033    0.223174E-04    0.232473E-06
 10     56       32           -68563.24851      -61058.33357    0.115723E-04    0.361636E-06
 10     57       96           -68563.26640      -61058.35146    0.440361E-04    0.458709E-06
 10     58       48           -68563.30263      -61058.38769    0.356396E-04    0.742491E-06
 10     59       96           -68563.30455      -61058.38961    0.731217E-04    0.761685E-06
 10     60       96           -68563.30780      -61058.39286    0.763509E-04    0.795322E-06
 10     61       16           -68563.23690      -61058.32196    0.495837E-05    0.309898E-06
 10     62       96           -68563.29162      -61058.37668    0.615714E-04    0.641369E-06
 10     63       48           -68563.30391      -61058.38897    0.362502E-04    0.755212E-06
 10     64       96           -68563.29514      -61058.38020    0.645251E-04    0.672137E-06
 10     65       48           -68563.32761      -61058.41267    0.496733E-04    0.103486E-05
 11      1       96           -69313.62809      -61058.22166    0.784289E-05    0.816967E-07
 11      2       48           -69313.62715      -61058.22072    0.387265E-05    0.806801E-07
 11      3       96           -69313.65893      -61058.25250    0.118165E-04    0.123089E-06
 11      4      192           -69313.68541      -61058.27898    0.336037E-04    0.175020E-06
 11      5       96           -69313.62681      -61058.22038    0.771057E-05    0.803185E-07
 11      6      192           -69313.65819      -61058.25176    0.234027E-04    0.121889E-06
 11      7      192           -69313.65744      -61058.25101    0.231705E-04    0.120680E-06
 11      8      192           -69313.65830      -61058.25186    0.234347E-04    0.122056E-06
 11      9      192           -69313.67591      -61058.26947    0.296153E-04    0.154246E-06
 11     10      192           -69313.65793      -61058.25150    0.233216E-04    0.121467E-06
 11     11       96           -69313.63928      -61058.23285    0.910047E-05    0.947965E-07
 11     12       96           -69313.70426      -61058.29783    0.215863E-04    0.224857E-06
 11     13      192           -69313.70946      -61058.30303    0.462610E-04    0.240943E-06
 11     14       96           -69313.68995      -61058.28352    0.178468E-04    0.185904E-06
 11     15       96           -69313.70310      -61058.29667    0.212571E-04    0.221428E-06
 11     16      192           -69313.66833      -61058.26189    0.267767E-04    0.139462E-06
 11     17      192           -69313.70143      -61058.29500    0.415792E-04    0.216558E-06
 11     18       48           -69313.70704      -61058.30060    0.111987E-04    0.233306E-06
 11     19      192           -69313.71851      -61058.31208    0.521754E-04    0.271747E-06
 11     20       48           -69313.64847      -61058.24204    0.514147E-05    0.107114E-06
 11     21       96           -69313.66195      -61058.25551    0.122999E-04    0.128124E-06
 11     22       48           -69313.62968      -61058.22325    0.400499E-05    0.834374E-07
 11     23      192           -69313.67752      -61058.27109    0.302587E-04    0.157598E-06
 11     24       96           -69313.68931      -61058.28288    0.176956E-04    0.184330E-06
 11     25       96           -69313.71057      -61058.30413    0.234734E-04    0.244515E-06
 11     26      192           -69313.71815      -61058.31171    0.519250E-04    0.270443E-06
 11     27       96           -69313.68511      -61058.27867    0.167343E-04    0.174316E-06
 11     28       96           -69313.71676      -61058.31033    0.254889E-04    0.265509E-06
 11     29       96           -69313.73547      -61058.32904    0.326856E-04    0.340475E-06
 11     30       96           -69313.68841      -61058.28198    0.174859E-04    0.182145E-06
 11     31       96           -69313.73744      -61058.33100    0.335511E-04    0.349490E-06
 11     32      192           -69313.74174      -61058.33530    0.710474E-04    0.370039E-06
 11     33       96           -69313.72588      -61058.31944    0.287713E-04    0.299701E-06
 11     34       48           -69313.73495      -61058.32852    0.162296E-04    0.338116E-06
 11     35       96           -69313.72839      -61058.32196    0.297510E-04    0.309906E-06
 12      1        8           -70064.06517      -61058.16724    0.317065E-06    0.396332E-07
 12      2      192           -70064.09310      -61058.19517    0.110304E-04    0.574502E-07
 12      3       96           -70064.12351      -61058.22559    0.826284E-05    0.860712E-07
 12      4       96           -70064.13387      -61058.23594    0.948192E-05    0.987700E-07
